,Region Display,Region ID,Region Name,communitydistrict_index,med_r_1f_18,med_r_4f_18,med_r_cn_18,med_r_ot_18,rent_asking_med_18,crime_all_rt_19,shd_ph_props_20,2010 Population_PRELOCKDOWN,PAPERTONSCOLLECTED_PERCAPITA_PRELOCKDOWN,MGPTONSCOLLECTED_PERCAPITA_PRELOCKDOWN,REFUSETONSCOLLECTED_PERCAPITA_PRELOCKDOWN,2010 Population_POSTLOCKDOWN,PAPERTONSCOLLECTED_PERCAPITA_POSTLOCKDOWN,MGPTONSCOLLECTED_PERCAPITA_POSTLOCKDOWN,REFUSETONSCOLLECTED_PERCAPITA_POSTLOCKDOWN,yearly_ind_benefi_per_1000_2019,yearly_household_benefi_per_1000_2019,yearly_ind_benefi_per_1000_2020,yearly_household_benefi_per_1000_2020
27,MN 04,304,Clinton/Chelsea,3__04,732500.0,469580.0,580000.0,287500.0,2600.0,13.8,22.0,112634,0.0608679439600831,0.08288971358559583,0.6919846582737007,112634,0.024852176074719887,0.03388852389154252,0.25690821599161884,807.0120922634372,494.2379743239164,643.0385141253972,404.9043805600441
28,MN 05,305,Midtown,3__05,435000.0,280000.0,320000.0,162670.0,2100.0,18.2,28.0,182896,0.03692207593386405,0.05625328055288251,0.6466303254308461,182896,0.014052795031055904,0.02322850144344327,0.23673945849007086,1315.157247834835,751.3450266818303,1051.7452541334967,609.3736331029656
29,MN 06,306,Stuyvesant Town/Turtle Bay,3__06,3300000.0,1000000.0,1346590.0,450000.0,2900.0,8.8,7.0,104709,0.1425751368077243,0.10435015137189732,0.5231861635580514,104709,0.04305933587370713,0.03661194357696092,0.1745189047741837,373.4635991175544,249.3195427327164,309.25708391828783,204.9967051542847
30,MN 07,307,Upper West Side,3__07,1450000.0,625000.0,793500.0,301670.0,2400.0,9.1,0.0,126230,0.08628218331616888,0.08260556127703397,0.6594969500118831,126230,0.028397369880377086,0.029649845520082388,0.2274807890358869,634.4212944624891,375.544640735166,489.67757268478175,295.9914441891785
31,MN 08,308,Upper East Side,3__08,981500.0,500000.0,1081780.0,316520.0,2570.0,10.3,35.0,96317,0.07992670037480402,0.07411152756003614,0.7190651702191719,96317,0.02860138916286844,0.02929181764382197,0.242052804800814,794.0965769282683,513.0454644559113,628.1653290696346,414.68276628217245
32,MN 09,309,Morningside Heights/Hamilton,3__09,1400000.0,472500.0,674100.0,250000.0,2300.0,10.9,1.0,98429,0.07158560993203222,0.0616830405673125,0.7881904723201497,98429,0.026690304686626903,0.024358674780806472,0.2596826138638003,790.874640603887,483.9021020227778,634.7011551473653,392.79074256570726
33,MN 10,310,Central Harlem,3__10,980000.0,565000.0,655840.0,250000.0,1880.0,5.9,0.0,124491,0.10479070776200687,0.09305973925825968,0.6620285803793046,124491,0.03369400197604647,0.03514229944333326,0.23854495505699205,517.8928597247993,306.8976873830237,419.29938710428877,250.17069507032642
34,MN 11,311,East Harlem,3__11,850000.0,495000.0,533820.0,221300.0,1800.0,5.6,0.0,181981,0.0861232766057995,0.07409399882405307,0.7012517790318769,181981,0.028038641396629312,0.02859749094685709,0.2411740786126024,741.0498898236632,442.0956033871668,573.7302245838853,344.61289914881223
35,MN 12,312,Washington Heights/Inwood,3__12,1247750.0,625000.0,723500.0,258000.0,1980.0,4.6,0.0,191382,0.08823034559153944,0.05830799134714864,0.8179149554294551,191382,0.031382261654701066,0.01887063569196685,0.2730350816691225,1221.7606671473807,397.1167612419142,946.6668756727383,310.7711279012655
36,,313,,3__13,573000.0,350000.0,529500.0,201620.0,2050.0,8.9,15.0,104278,0.046398089721705435,0.05485624964038436,0.5058497477895626,104278,0.015408811062736148,0.020266019678167976,0.17595465965975565,1172.8168933044362,784.0771783118204,907.6602926791844,608.6902318801665
